new	mới
company	công ty
year	năm
service	dịch vụ
please	vui lòng
customer	khách hàng
work	làm việc / công việc
email	thư điện tử
make	làm
more	thêm / nhiều hơn
time	thời gian / thời điểm
product	sản phẩm
business	kinh doanh / doanh nghiệp
day	ngày
employee	nhân viên
use	sử dụng
information	thông tin
member	thành viên
order	đơn hàng / đặt hàng
letter	lá thư
provide	cung cấp
date	ngày
receive	nhận
office	văn phòng
manage	quản lý
month	tháng
most	nhiều nhất / hầu hết
also	cũng
hotel	khách sạn
include	bao gồm
than	so với
only	chỉ
price	giá
purchase	mua
other	khác
week	tuần
thank	cám ơn
send	gửi
plan	kế hoạch / lên kế hoạch
open	mở
contact	liên lạc
change	thay đổi
add	thêm
store	cửa hàng
article	bài báo
call	gọi
schedule	lịch trình / lên lịch
event	sự kiện
first	đầu tiên / thứ nhất
center	trung tâm
free	miễn phí / tự do
ask	hỏi / yêu cầu
like	thích
next	tiếp theo
request	yêu cầu
job	việc làm / công việc
before	trước
department	bộ phận
after	sau
design	thiết kế
city	thành phố
number	số / số lượng
high	cao
need	cần
conference	hội nghị
know	biết
meeting	cuộc họp
give	đưa / đưa ra
special	đặc biệt
staff	nhân viên
room	phòng
announce	thông báo
website	trang web
write	viết
visit	ghé thăm / chuyến đi
hour	giờ
require	yêu cầu
help	giúp đỡ
because	bởi vì
increase	tăng
people	người
find	tìm thấy / cảm thấy
complete	hoàn thành / hoàn chỉnh
attend	tham dự
program	chương trình
book	sách
according to	theo như
many	nhiều
food	đồ ăn / thực phẩm
travel	đi lại / du lịch
last	vừa qua / trước
current	hiện tại
project	dự án
report	báo cáo
form	mẫu (đơn)
follow	theo sau / làm theo
area	khu vực
during	trong suốt
experience	kinh nghiệm
notice	chú ý / thông báo
