extra	thêm
along	dọc theo
passenger	hành khách
distribute	phân phối / phân phát
probably	có thể
throughout	xuyên suốt / khắp
CEO	tổng giám đốc
apply	áp dụng
yet	vẫn chưa
region	vùng
specific	cụ thể
set	thiết lập / cài đặt / sắp đặt
field	lĩnh vực
pick up	lấy / đón
lead	dẫn / dẫn dắt
satisfy	thỏa mãn
maintenance	việc bảo trì
instead	thay vì / thay vì vậy
degree	tấm bằng
strategy	chiến lược
notify	thông báo cho
kind	loại
receipt	biên nhận
study	nghiên cứu
performance	hiệu suất
leave	để lại / để cho
sign up	đăng ký
upon	vào lúc
personnel	nhân sự
exchange	đổi
furniture	đồ nội thất
concert	buổi hòa nhạc
though	mặc dù
take place	diễn ra
significant	đáng kể
expenses	chi phí
retail	bán lẻ
process	xử lý
latest	mới nhất
value	giá trị
either	một trong hai
solution	giải pháp
method	phương pháp
permit	cho phép / giấy phép
case	trường hợp
technical	kỹ thuật
record	hồ sơ / ghi nhận
apologize	xin lỗi
standard	tiêu chuẩn
seek	tìm kiếm
file	tập tin / hồ sơ
raise	tăng / quyên góp
unfortunately	không may
despite	mặc cho
goods	hàng hóa
law	luật
guide	hướng dẫn
feature (n)	đặc tính / tính năng
campaign	chiến dịch
lecture	bài diễn thuyết
issue	số (tạp chí, báo...)
frequent	thường xuyên
temporary	tạm thời
attention	sự chú ý
leader	người lãnh đạo / người dẫn đầu
store	cất trữ
handle	xử lý
related	liên quan
ceremony	buổi lễ
direction	sự hướng dẫn / đường đi
data	dữ liệu
tax	thuế
collect	thu thập
celebrate	ăn mừng
laboratory	phòng thí nghiệm
proper	đúng cách / phù hợp
guarantee	đảm bảo
get	trở nên / được
committee	ủy ban
code	mã
regulation	quy định
impress	gây ấn tượng
as	như / vì / khi
valid	có hiệu lực / hợp lệ
complimentary	miễn phí
artist	nghệ sĩ
quarter	quý (3 tháng)
recruit	tuyển dụng
above	trên
invitation	thư mời
donation	sự đóng góp
site	địa điểm / nơi
launch	tung ra
catalog	danh mục (sản phẩm,...)
division	bộ phận
choice	sự lựa chọn
power	điện / năng lượng
inspection	việc kiểm tra
term	điều khoản
extend	kéo dài
