reschedule	dời lịch
productivity	năng suất
reasonable	hợp lí
fall	rơi / giảm
intern	thực tập sinh
exceed	vượt quá
outstanding	tuyệt vời / xuất sắc
next to	cạnh
twice	hai lần
reliable	đáng tin cậy
ground	mặt đất
adjust	điều chỉnh
examine	kiểm tra
part-time	bán thời gian
equip	trang bị
priority	ưu tiên
resolve	giải quyết
creative	sáng tạo
screen	màn hình
figure	con số
decline	giảm
temperature	nhiệt độ
voucher	phiếu giảm giá
assemble	lắp ráp / tập hợp
gather	thu thập / tập hợp
recipient	người nhận
rarely	hiếm khi
acquire	mua lại / có được
willing	sẵn lòng
moreover	hơn nữa
click	nhấp chuột
flexible	linh hoạt
outline	vạch ra
in spite of	mặc cho
baggage	hành lý
lobby	tiền sảnh
land	đất
shift	ca làm việc
whereas	trong khi
neither	không cái nào
independent	độc lập
highway	đường cao tốc
comprehensive	toàn diện
dessert	món tráng miệng
signature	chữ ký
target	mục tiêu / nhắm đến
function	chức năng
solve	giải quyết
plant	cái cây
disappoint	gây thất vọng
sign	bảng hiệu / dấu hiệu
loyal	trung thành
furthermore	hơn nữa
luggage	hành lý
mostly	hầu hết
delicious	ngon
appoint	bổ nhiệm
committed	tận tâm
trash	rác
interesting	thú vị
generous	hào phóng
nevertheless	tuy nhiên
hardly	hầu như không
broad	rộng
subject	chủ đề
sincerely	chân thành
word	từ
paragraph	đoạn văn
corporation	tập đoàn
per	mỗi
state	nói / chỉ ra
dr.	tiến sĩ / bác sĩ
credit	tín dụng
executive	điều hành / người điều hành
medical	y tế
own	chính (ai đó)
town	thị trấn / thành phố
communication	giao tiếp / liên lạc
fitness	thể hình / thể dục
offer	khuyến mãi
education	giáo dục
oil	dầu
editor	biên tập viên
brand	thương hiệu
intend	dự định
focus	tập trung
point	điểm
10% off	giảm giá 10%
various	khác nhau
infer	suy ra
europe	châu âu
section	phần
association	hiệp hội
such	như vậy
reference	sự tham khảo
author	tác giả
south	phía nam
actually	thực ra / thực sự
series	xê-ri
aware of	biết / nhận thức
