team	đội / nhóm
pay	chi trả
cost (n)	chi phí
march	tháng Ba
computer	máy tính
come	đến
very	rất
june	tháng Sáu
see	xem / thấy
problem	vấn đề
deliver	giao (hàng...)
each	mỗi
want	muốn
start	bắt đầu
submit	nộp
large	lớn
home	nhà
say	nói
hope	hy vọng
there is	có
where	nơi nào / nơi mà
card	thẻ
register	đăng ký
expect	trông đợi
able	có thể
best	tốt nhất
ticket	vé
develop	phát triển
now	bây giờ
august	tháng Tám
director	giám đốc
april	tháng Tư
get	có được / lấy
name	tên
question	câu hỏi
july	tháng Bảy
much	nhiều
take	lấy / mang
ship	giao (hàng)
begin	bắt đầu
research	nghiên cứu
advertise	quảng cáo
charge	phí / tính phí
long	dài / lâu
return	trả lại / trở lại
hold	tổ chức
while	trong khi
review	xem lại / đánh giá
every	mỗi
mention	đề cập
system	hệ thống
class	lớp học
into	vào trong
training	đào tạo / huấn luyện
group	nhóm
restaurant	nhà hàng
health	sức khỏe
full	đầy đủ / toàn bộ
main	chính / chủ yếu
part	phần
read	đọc
construction	xây dựng
international	quốc tế
success	sự thành công
contract	hợp đồng
fee	khoản phí
quality	chất lượng
client	khách hàng
university	trường đại học
close	gần / gần gũi
within	trong vòng
repair	sửa chữa
september	tháng Chín
end	kết thúc / cuối
participate	tham gia
interview	buổi phỏng vấn
building	tòa nhà
however	tuy nhiên
student	sinh viên
list	danh sách / liệt kê
publish	xuất bản
result	kết quả
arrive	đến
both	cả hai
confirm	xác nhận
until	cho đến khi
inform	thông báo cho
technology	công nghệ
monday	thứ Hai
discuss	bàn bạc / thảo luận
just	chỉ / vừa mới
october	tháng Mười
good	tốt
car	xe hơi
let	cho / để
street	đường
hire	thuê
copy	bản sao / sao chép
few	ít / vài
important	quan trọng
