lake	hồ
wine	rượu vang
mistake	lỗi lầm / nhầm lẫn
farm	nông trại
mean	có nghĩa
hand	tay
brown	màu nâu
flower	hoa
image	hình ảnh
inside	bên trong
swimming	bơi
wash	giặt / rửa
hard	chăm chỉ
doctor	bác sĩ
discussion	buổi thảo luận
modern	hiện đại
action	hành động
mountain	ngọn núi
perform	biểu diễn
vegetables	rau
beside	bên cạnh
cake	bánh
fly	bay
winter	mùa đông
remember	nhớ
red	màu đỏ
behind	phía sau
boat	con thuyền
uniform	đồng phục
chair	ghế
automatic	tự động
congratulations	chúc mừng
watch	xem
way	đường
bed	cái giường
light	ánh sáng / đèn
foreign	nước ngoài
confident	tự tin
noon	trưa
password	mật khẩu
window	cửa sổ
United States	Mỹ
hot	nóng
fun	vui
teacher	giáo viên
himself	chính anh ấy / tự anh ấy
fan	người hâm mộ
beach	bãi biển
forget	quên
calendar	lịch
speed	tốc độ
study	học
cream	kem
body	cơ thể / thân
shoe	giày
fruit	trái cây
love	yêu thích / yêu thương
plane	máy bay
animal	động vật / con vật
parent	cha mẹ
cheap	rẻ
drop	giảm / rơi
trust	tin tưởng
wall	bức tường
green	xanh
back	phía sau
dry	khô
accident	tai nạn
sound	âm thanh
spring	mùa xuân
mind	tâm trí
tea	trà
truck	xe tải
far	xa
wish	chúc
island	hòn đảo
exit	lối ra
break	làm vỡ / phá vỡ
billion	một tỷ
stand	đứng
refrigerator	tủ lạnh
bike	xe đạp
fire	vụ cháy / chữa cháy
bedroom	phòng ngủ
fine	tốt
hello	chào
clothes	quần áo
hundred	một trăm
wrong	sai
Mrs.	bà
bad	xấu / tồi tệ
eye	mắt
cheese	phô mai
bicycle	xe đạp
star	ngôi sao
hard	khó
map	bản đồ
hair	tóc
cell phone	điện thoại di động
sea	biển
