quite	khá
feedback	sự phản hồi
revenue	doanh thu
promote	thăng chức
exclusive	riêng / đặc biệt
plant	nhà máy
alternative	thay thế
usual	bình thường / thông thường
due	tới hạn / phải trả
overseas	ở nước ngoài
cash	tiền mặt
dish	món ăn
selection	tập hợp (sản phẩm...)
industrial	công nghiệp
thorough	kỹ lưỡng
accommodation	chỗ ở
instructor	người hướng dẫn
colleague	đồng nghiệp
collection	bộ sưu tập
similar	giống / tương tự
taste	mùi vị / nếm mùi vị
honor	vinh danh / vinh dự
route	tuyến đường
authorize	ủy quyền
real estate	bất động sản
deal with	giải quyết / làm việc với
address	giải quyết
mayor	thị trưởng
dining	ăn uống
audience	khán giả
fix	sửa chữa
exact	chính xác
extremely	cực kỳ
donate	đóng góp
challenge	thách thức
specify	nêu cụ thể
tourism	du lịch
accommodate	đáp ứng / chứa được
remove	loại bỏ
guideline	hướng dẫn
decade	thập kỷ
patient	bệnh nhân
check in	nhận phòng / làm thủ tục
prevent	ngăn
view	xem
assign	chỉ định
control	kiểm soát / điều khiển
establish	thành lập / thiết lập
advantage	lợi thế
helpful	hữu ích
decrease	giảm
expire	hết hạn
occur	xảy ra
summary	bảng tóm tắt
concerning	về (=about)
yourself	chính bạn
traditional	truyền thống
identification	chứng minh thư
affordable	có giá phải chăng
specialize in	chuyên về
familiar	quen thuộc
photography	nhiếp ảnh / việc chụp ảnh
reputation	danh tiếng
otherwise	khác / ngược lại
ingredient	thành phần
capacity	sức chứa / công suất
cover letter	thư xin việc
own	sở hữu
double	gấp đôi
right	quyền
predict	dự đoán
stock	hàng hóa
talk	bài diễn thuyết
fill	làm đầy
enhance	tăng cường
subscriber	người đặt báo, tạp chí...
bonus	tiền thưởng
accompany	đi kèm
negotiate	đàm phán
shuttle	xe trung chuyển
ahead	trước
accurate	chính xác
relationship	mối quan hệ
present	có mặt
board	lên (tàu, xe buýt...)
site	trang web
engineer	kỹ sư
vote	bầu chọn
cause	nguyên nhân
completely	hoàn toàn
recall	thu hồi
agricultural	nông nghiệp
license	giấy phép
postpone	trì hoãn
normal	bình thường
assess	đánh giá
analyst	nhà phân tích
ideal	lý tưởng
promptly	ngay lập tức / nhanh chóng
achieve	đạt được
