"1","new","mới"
"2","company","công ty"
"3","Mr.","ông"
"4","year","năm"
"5","service","dịch vụ"
"6","please","vui lòng"
"7","customer","khách hàng"
"8","work","làm việc / công việc"
"9","email","thư điện tử"
"10","Ms.","bà"
"11","make","làm"
"12","more","thêm / nhiều hơn"
"13","time","thời gian / thời điểm"
"14","product","sản phẩm"
"15","business","kinh doanh / doanh nghiệp"
"16","day","ngày"
"17","employee","nhân viên"
"18","use","sử dụng"
"19","information","thông tin"
"20","member","thành viên"
"21","order","đơn hàng / đặt hàng"
"22","letter","lá thư"
"23","provide","cung cấp"
"24","date","ngày"
"25","receive","nhận"
"26","office","văn phòng"
"27","manage","quản lý"
"28","month","tháng"
"29","most","nhiều nhất / hầu hết"
"30","also","cũng"
"31","hotel","khách sạn"
"32","include","bao gồm"
"33","than","so với"
"34","only","chỉ"
"35","price","giá"
"36","purchase","mua"
"37","other","khác"
"38","week","tuần"
"39","thank","cám ơn"
"40","send","gửi"
"41","plan","kế hoạch / lên kế hoạch"
"42","open","mở"
"43","contact","liên lạc"
"44","change","thay đổi"
"45","add","thêm"
"46","store","cửa hàng"
"47","article","bài báo"
"48","call","gọi"
"49","schedule","lịch trình / lên lịch"
"50","event","sự kiện"
"51","first","đầu tiên / thứ nhất"
"52","center","trung tâm"
"53","free","miễn phí / tự do"
"54","ask","hỏi / yêu cầu"
"55","like","thích"
"56","next","tiếp theo"
"57","request","yêu cầu"
"58","job","việc làm / công việc"
"59","before","trước"
"60","department","bộ phận"
"61","after","sau"
"62","design","thiết kế"
"63","city","thành phố"
"64","number","số / số lượng"
"65","high","cao"
"66","need","cần"
"67","conference","hội nghị"
"68","know","biết"
"69","meeting","cuộc họp"
"70","give","đưa / đưa ra"
"71","special","đặc biệt"
"72","staff","nhân viên"
"73","room","phòng"
"74","announce","thông báo"
"75","website","trang web"
"76","write","viết"
"77","visit","ghé thăm / chuyến đi"
"78","hour","giờ"
"79","require","yêu cầu"
"80","help","giúp đỡ"
"81","because","bởi vì"
"82","increase","tăng"
"83","people","người"
"84","find","tìm thấy / cảm thấy"
"85","complete","hoàn thành / hoàn chỉnh"
"86","attend","tham dự"
"87","program","chương trình"
"88","book","sách"
"89","according to","theo như"
"90","many","nhiều"
"91","food","đồ ăn / thực phẩm"
"92","travel","đi lại / du lịch"
"93","last","vừa qua / trước"
"94","current","hiện tại"
"95","project","dự án"
"96","report","báo cáo"
"97","form","mẫu (đơn)"
"98","follow","theo sau / làm theo"
"99","area","khu vực"
"100","during","trong suốt"
"101","experience","kinh nghiệm"
"102","notice","chú ý / thông báo"
"103","team","đội / nhóm"
"104","pay","chi trả"
"105","cost (n)","chi phí"
"106","march","tháng Ba"
"107","computer","máy tính"
"108","come","đến"
"109","very","rất"
"110","june","tháng Sáu"
"111","see","xem / thấy"
"112","problem","vấn đề"
"113","deliver","giao (hàng...)"
"114","each","mỗi"
"115","want","muốn"
"116","start","bắt đầu"
"117","submit","nộp"
"118","large","lớn"
"119","home","nhà"
"120","say","nói"
"121","hope","hy vọng"
"122","there is","có"
"123","where","nơi nào / nơi mà"
"124","card","thẻ"
"125","register","đăng ký"
"126","expect","trông đợi"
"127","able","có thể"
"128","best","tốt nhất"
"129","ticket","vé"
"130","develop","phát triển"
"131","now","bây giờ"
"132","august","tháng Tám"
"133","director","giám đốc"
"134","april","tháng Tư"
"135","get","có được / lấy"
"136","name","tên"
"137","question","câu hỏi"
"138","july","tháng Bảy"
"139","much","nhiều"
"140","take","lấy / mang"
"141","ship","giao (hàng)"
"142","begin","bắt đầu"
"143","research","nghiên cứu"
"144","advertise","quảng cáo"
"145","charge","phí / tính phí"
"146","long","dài / lâu"
"147","return","trả lại / trở lại"
"148","hold","tổ chức"
"149","while","trong khi"
"150","review","xem lại / đánh giá"
"151","every","mỗi"
"152","mention","đề cập"
"153","system","hệ thống"
"154","class","lớp học"
"155","into","vào trong"
"156","training","đào tạo / huấn luyện"
"157","group","nhóm"
"158","restaurant","nhà hàng"
"159","health","sức khỏe"
"160","full","đầy đủ / toàn bộ"
"161","main","chính / chủ yếu"
"162","part","phần"
"163","read","đọc"
"164","construction","xây dựng"
"165","international","quốc tế"
"166","success","sự thành công"
"167","contract","hợp đồng"
"168","fee","khoản phí"
"169","quality","chất lượng"
"170","client","khách hàng"
"171","university","trường đại học"
"172","close","gần / gần gũi"
"173","within","trong vòng"
"174","repair","sửa chữa"
"175","september","tháng Chín"
"176","end","kết thúc / cuối"
"177","participate","tham gia"
"178","interview","buổi phỏng vấn"
"179","building","tòa nhà"
"180","however","tuy nhiên"
"181","student","sinh viên"
"182","list","danh sách / liệt kê"
"183","publish","xuất bản"
"184","result","kết quả"
"185","arrive","đến"
"186","both","cả hai"
"187","confirm","xác nhận"
"188","until","cho đến khi"
"189","inform","thông báo cho"
"190","technology","công nghệ"
"191","monday","thứ Hai"
"192","discuss","bàn bạc / thảo luận"
"193","just","chỉ / vừa mới"
"194","october","tháng Mười"
"195","good","tốt"
"196","car","xe hơi"
"197","let","cho / để"
"198","street","đường"
"199","hire","thuê"
"200","copy","bản sao / sao chép"
