since	từ khi
compete	cạnh tranh
total	tổng cộng
near	gần
produce	sản xuất / tạo ra
around	xung quanh / khoảng
close	đóng
bill	hóa đơn
attach	đính kèm
prepare	chuẩn bị
software	phần mềm
human	người
encourage	khuyến khích
hear	nghe
decide	quyết định (v)
join	gia nhập
there	ở đó
select	chọn
history	lịch sử
summer	mùa hè
stay	ở
check	kiểm tra / xem
ago	trước đây
same	cùng / giống nhau
learn	học
continue	tiếp tục
still	vẫn
telephone	điện thoại
nation	quốc gia
arrange	sắp xếp
news	tin tức
bus	xe buýt
under	dưới
page	trang
invite	mời
thursday	thứ Năm
feel	cảm thấy
message	tin nhắn
night	đêm
second	thứ hai
theater	nhà hát / rạp phim
tell	nói
old	cũ / lớn tuổi
necessary	cần thiết
amount	số lượng / khoản (tiền...)
presentation	buổi thuyến trình
library	thư viện
government	chính phủ
club	câu lạc bộ
road	đường
economy	kinh tế
way	cách
floor	tầng / sàn nhà
monthly	hàng tháng
sunday	Chủ Nhật
here	ở đây
organization	tổ chức
better	tốt hơn
shop	cửa hàng
shopping	mua sắm
level	mức độ / cấp độ
excellent	tuyệt vời
vehicle	xe
idea	ý tưởng
less	ít hơn
later	sau đó / trễ hơn
always	luôn luôn
machine	máy
describe	mô tả
morning	buổi sáng
immediately	ngay lập tức
install	lắp đặt / cài đặt
live	sống
enter	đi vào / đưa vào
without	không có
train	xe lửa
film	phim
coupon	phiếu giảm giá
size	kích thước / kích cỡ
accounting	kế toán
meal	bữa ăn
try	cố gắng / thử
cancel	hủy
drive	lái xe
vacation	kỳ nghỉ
complain	phàn nàn
reason	lí do
gift	quà tặng
sign	ký
spend	chi tiêu / dành (thời gian)
speak	nói / phát biểu
factory	nhà máy
welcome	chào đón
season	mùa
top	hàng đầu / trên cùng
appointment	cuộc hẹn
run	chạy
music	âm nhạc
air	không khí / hàng không
wednesday	thứ Tư
