advice	lời khuyên
friend	người bạn
friendly	thân thiện
big	lớn
never	không bao giờ
box	hộp
swimming pool	hồ bơi
outside	bên ngoài
salary	tiền lương
responsibility	trách nhiệm
fast	nhanh
anyone	bất kỳ ai
carefully	cẩn thận
style	phong cách
remind	nhắc nhở
ability	khả năng
adult	người lớn
cook	nấn ăn
save	tiết kiệm
a lot of	nhiều
clear	rõ ràng
game	trò chơi
graduate	tốt nghiệp
share	chia sẻ
walk	đi bộ
beautiful	đẹp
hold	giữ
yesterday	hôm qua
knowledge	kiến thức
table	cái bàn
picture	bức ảnh
holiday	kỳ nghỉ / lỳ lễ
culture	văn hóa
half	nửa
correct	đúng / chỉnh sửa
paint	sơn
usually	thường xuyên
last	cuối cùng
error	lỗi
comfortable	thoải mái
wedding	đám cưới
traveler	hành khách
printer	máy in
ready	sẵn sàng
everything	mọi thứ
clothing	quần áo
fashion	thời trang
topic	chủ đề
exercise	tập (thể dục)
sorry	xin lỗi / tiếc
eat	ăn
third	thứ ba / một phần ba
door	cửa
gym	phòng tập thể dục
wear	mặc / mang
young	trẻ
perfect	hoàn hảo
electricity	điện
evening	buổi tối
things	thứ / điều
men	đàn ông
stop	dừng / điểm dừng
breakfast	bữa sáng
reply	trả lời
cut	cắt / cắt giảm
step	bước
weekly	hàng tuần
suitable	phù hợp
search	tìm kiếm
play	chơi
right	đúng
dollar	đô la
opinion	ý kiến
seem	có vẻ như
cooperation	sự hợp tác
example	ví dụ
band	ban nhạc
resort	khu nghỉ mát
age	tuổi
on time	đúng giờ
little	ít
traffic	giao thông
key	chìa khóa / then chốt
prize	giải thưởng
woman	phụ nữ
mobile	di động
heavy	nặng / lớn
tomorrow	ngày mai
busy	bận rộn
bag	túi / túi xách
face	mặt / đối mặt
white	màu trắng
blue	xanh dương
advise	khuyên / thông báo
story	câu chuyện
useful	hữu ích
black	màu đen
river	con sông
depend	phụ thuộc
compare	so sánh
