quickly	nhanh chóng
station	trạm / đài
attract	thu hút
weekend	cuối tuần
like	giống
well	tốt
activity	hoạt động
organize	tổ chức / sắp xếp
look for	tìm kiếm
tuesday	thứ Ba
then	sau đó
might	có thể
explain	giải thích
visitor	khách / du khách
display	trưng bày
believe	tin
delay	trì hoãn
wide	rộng
paper	giấy
strong	mạnh
test	kiểm tra
web	mạng
desk	cái bàn
life	cuộc sống / cuộc đời
leave	rời đi / rời khỏi
comment	lời bình
teach	dạy
book	đặt (phòng, vé...)
course	khóa học
lost	mất
late	trễ
decision	quyết định (n)
retire	về hưu
festival	lễ hội
tourist	khách du lịch
drink	uống / đồ uống
party	bữa tiệc
relations	quan hệ
America	nước Mỹ
someone	ai đó
garden	vườn
volunteer	người tình nguyện
person	người
responsible	chịu trách nhiệm
sport	thể thao
hospital	bệnh viện
happen	xảy ra
wish	muốn
down	xuống
too	quá
million	triệu
camera	máy ảnh / máy quay phim
Asia	châu Á
often	thường xuyên
answer	trả lời
demand	nhu cầu
put	đặt / để
happy	vui
front	trước
movie	bộ phim
seat	chỗ ngồi
protect	bảo vệ
difficult	khó khăn
talk	nói chuyện
kitchen	nhà bếp
lunch	bữa trưa
maintain	duy trì / bảo trì
easy	dễ dàng
away	xa
dinner	bữa tối
television / TV	truyền hình / tivi
wait	chờ
rise	tăng
avoid	tránh
understand	hiểu
color	màu sắc
deadline	hạn chót
goal	mục tiêu
post	đăng
contain	chứa đựng
agree	đồng ý
finish	hoàn thành
enough	đủ
newspaper	báo
look	nhìn
simple	đơn giản
performance	buổi biểu diễn
expensive	đắt tiền
afternoon	buổi chiều
menu	thực đơn
grow	gia tăng / phát triển
together	cùng / cùng nhau
coffee	cà phê
short	ngắn
branch	chi nhánh
real	thực sự
famous	nổi tiếng
daily	hàng ngày
weather	thời tiết
everyone	mọi người
