speaker	người diễn thuyết
excited	hào hứng
appear	xuất hiện
partner	đối tác
analyze	phân tích
release	tung ra
fair	hội chợ
prior	trước
effort	nỗ lực
defective	bị lỗi
affect	tác động đến
café / cafeteria	quán ăn uống
express	bày tỏ
device	thiết bị
certificate	giấy chứng nhận
obtain	có được / lấy được
evaluate	đánh giá
range	nhiều loại / sự đa dạng
ever	từ trước đến nay / từng
eligible	đủ điều kiện
across	khắp / bên kia
offer	đề nghị
relocate	dời địa điểm
leading	dẫn đầu
council	hội đồng
inquire	hỏi
recycle	tái chế
determine	xác định
chef	đầu bếp trưởng
demonstrate	chứng tỏ / trình bày
issue	cấp / đưa ra
cost (v)	tốn phí
invoice	hóa đơn
gallery	phòng trưng bày
procedure	quy trình
in person	trực tiếp
check	séc
satisfaction	sự hài lòng
fresh	tươi
approximately	khoảng chừng
found	thành lập
growth	sự tăng trưởng
language	ngôn ngữ
consultant	người tư vấn
technician	kỹ thuật viên
competition	cuộc thi
vice	phó
unless	trừ khi
unique	độc đáo
entrance	lối vào
expert	chuyên gia
initial	ban đầu
almost	hầu như
headquarters	trụ sở
trend	xu hướng
agreement	thỏa thuận
itinerary	lịch trình
average	trung bình
against	chống lại / đối với
upgrade	nâng cấp
except	ngoại trừ
brochure	tờ rơi
speech	bài diễn thuyết
warehouse	nhà kho
outdoor	ngoài trời
effect	tác động / hiệu lực
innovative	đổi mới
full-time	toàn thời gian
downtown	trung tâm thành phố
over	trên
duty	nhiệm vụ
connect	kết nối
opening	vị trí trống
agent	người đại diện
inquiry	câu hỏi
recognize	công nhận
no longer	không còn nữa
minimum	tối thiểu
situation	tình huống
reach	đạt được
management	ban quản lý
host	tổ chức
merchandise	hàng hóa
destination	điểm đến
task	nhiệm vụ
fail	thất bại / không làm
manual	sách hướng dẫn
appliance	thiết bị
transfer	chuyển
implement	ban hành
extensive	trên phạm vi rộng
take advantage of	tận dụng
merger	vụ sáp nhập
leadership	sự lãnh đạo
source	nguồn
beverage	thức uống
anniversary	kỷ niệm
brief	ngắn gọn
shipment	lô hàng
used to	đã từng
