kit	bộ
undergo	trải qua
given	xét
serious	nghiêm trọng / nghiêm túc
physical	thể chất
multiple	nhiều
athletic	thể thao / điền kinh
gold	vàng
import	nhập khẩu
fundraising	việc gây quỹ
spokesperson	người phát ngôn
income	thu nhập
eco	môi trường / sinh thái
junior	cấp thấp
sector	lĩnh vực
aspect	khía cạnh
minor	nhỏ
look to	muốn
programming	lập trình
disease	căn bệnh
monitor	giám sát
with/in regard to	về (= about)
unit	sản phẩm
rest	phần còn lại
model	mô hình
apparel	quần áo
amazing	tuyệt vời
quote	báo giá
in case	phòng khi / trong trường hợp
timely	kịp thời
belongings	đồ đạc
now that	bởi vì bây giờ
regard	đánh giá
grateful	biết ơn
utilize	sử dụng
payroll	tiền lương
occasionally	thỉnh thoảng
mutually	chung
remodel	sửa đổi
wonder	muốn biết
resign	từ chức
mechanic	thợ máy
orientation	việc định hướng
strength	điểm mạnh / sức mạnh
injury	chấn thương
consist	bao gồm
sightseeing	việc ngắm cảnh
divide	chia
incorporate	kết hợp
enthusiastic	nhiệt tình
ongoing	đang diễn ra
reminder	thư nhắc nhở
provided that	miễn là
prohibit	cấm
intention	ý định
alike	như nhau
on the other hand	mặt khác
absent	vắng mặt
shortage	sự thiếu
characteristic	đặc điểm
sensitive	nhạy cảm / nhạy
amateur	nghiệp dư
dramatically	nhanh chóng
owing to	do
wage	tiền lương
whichever	bất kỳ cái nào
array	tập hợp
favorable	thuận lợi
alternate	thay thế
dangerous	nguy hiểm
lately	gần đây (recently)
concentrate	tập trung
precisely	chính xác
interrupt	gây gián đoạn
scenery	quang cảnh
enroll	đăng ký
elsewhere	ở nơi khác
sum	số tiền
deserve	xứng đáng
sharply	nhanh chóng
row	hàng
one another	lẫn nhau
wrap	gói
beforehand	trước
adversely	bất lợi
institute	ban hành
turn in	nộp
stadium	sân vận động
periodically	thỉnh thoảng
in touch	liên lạc
abundant	nhiều
immensely	to lớn
agenda	nội dung cuộc họp
escort	đi theo
blend	sự pha trộn
consequently	vì vậy
journey	chuyến đi
waive	bãi bỏ
