promotion	khuyến mãi
valuable	quý giá
peak	cao điểm / đỉnh điểm
lawn	bãi cỏ
rapidly	nhanh chóng
generate	tạo ra
approach	tiếp cận / đến gần
reward	phần thưởng / thưởng
assignment	nhiệm vụ
in charge	chịu trách nhiệm
flyer	tờ rơi
administration	việc quản trị
favorite	ưa thích nhất
realize	nhận ra
architecture	kiến trúc
aim	mục tiêu / nhắm đến
recover	phục hồi
secretary	thư ký
distance	khoảng cách
century	thế kỷ
envelope	bì thư
quantity	số lượng
anticipate	trông đợi
play	vở kịch
grand opening	buổi khai trương
version	phiên bản
plastic	nhựa
comply	tuân thủ
rule	quy định
impact	tác động
cable	dây cáp
technique	kỹ thuật
confidential	bí mật
work	hoạt động
inventory	hàng hóa / kiểm kê hàng
on behalf of	thay mặt cho
match	tương ứng / phù hợp với
scholarship	học bổng
assure	đảm bảo
poor	tệ
as long as	miễn là
whenever	bất kỳ khi nào
nearby	ở gần đó
shareholder	cổ đông
risk	rủi ro
considerable	đáng kể
balance	số dư / tiền còn lại
meter	mét
consult	hỏi ý kiến / tham khảo
huge	khổng lồ
artwork	tác phẩm nghệ thuật
patron	khách
durable	bền
vacancy	vị trí trống / chỗ trống
stop by / drop by	ghé đến
emergency	việc khẩn cấp
factor	nhân tố
retain	giữ lại
publication	ấn phẩm
earlier	trước đó
packaging	bao bì
interest	lãi
well-known	nổi tiếng
relatively	tương đối
carpet	tấm thảm
rely on	phụ thuộc / tin cậy
run	điều hành
exceptional	tuyệt vời
slightly	một ít / nhỏ
occasion	dịp
critic	nhà phê bình
elevator	thang máy
measure	đo lường
highlight	làm nổi bật
conclude	kết luận
direct	chuyển đến / hướng đến
light	nhẹ
record	thu âm / thu hình
wildlife	động vật hoang dã
lack	sự thiếu
regret	tiếc
proceed	tiến hành / tiến đến
booth	gian hàng / buồng
steadily	đều
spacious	rộng rãi
restrict	giới hạn
fall	mùa thu
well	rất / rất nhiều
grocery	thực phẩm
commitment	sự cam kết / tậm tân
circumstance	hoàn cảnh
emphasize	nhấn mạnh
commute	đi đến chỗ làm
carry out	tiến hành
practice	cách thức / thói quen
regardless of	bất kể
lease	thuê / hợp đồng thuê
consistently	luôn luôn / đều đặn
population	dân số
qualify	đủ điều kiện
