shirt	áo sơ mi
carry	mang / mang theo
twelve	mười hai
middle	giữa
sometimes	đôi khi
bathroom	phòng tắm
warm	ấm
nothing	không cái gì
lesson	bài học
actor	diễn viên
practice	luyện tập
rain	mưa
heart	trái tim
sit	ngồi
myself	chính tôi
miss	cô
thousand	một nghìn
too	cũng
rice	gạo
ourselves	chính chúng tôi
maximum	tối đa
kid	trẻ em
voice	giọng nói
quiet	yên tĩnh
apple	quả táo
turn off	tắt
alone	chỉ riêng / một mình
sun	mặt trời
listen	nghe
draw	vẽ
sick	bị bệnh
police	cảnh sát
anytime	bất kỳ lúc nào
zoo	sở thú
toy	đồ chơi
dream	ước mơ
T-shirt	áo thun
dish	đĩa
ship	thuyền
board	bảng
post office	bưu điện
kind	tử tế
let's	hãy
waste	lãng phí
tour guide	hướng dẫn viên du lịch
present	món quà
soft	mềm / nhẹ
press	ấn nút
miss	nhớ
right	bên phải
glass	cái ly
offer	cung cấp / đem lại
available	có
item	món hàng / món đồ
recent	gần đây / vừa rồi
local	địa phương
position	vị trí
sales	bán hàng
discount	giảm giá
advertisement	mẫu quảng cáo
indicate	chỉ ra
purpose	mục đích
finance	tài chính
line	dòng (sản phẩm, chữ)
interested	quan tâm
reserve	đặt (phòng, bàn...)
location	địa điểm
detail	chi tiết / nêu chi tiết
public	công chúng / công cộng
community	cộng đồng
market	thị trường / chợ
payment	thanh toán / tiền thanh toán
operate	hoạt động / vận hành
likely	có thể
recommend	đề nghị
industry	ngành
survey	khảo sát
facility	cơ sở
annual	hàng năm
promote	quảng bá / thúc đẩy
even	thậm chí
access	tiếp cận / truy cập
application	đơn xin
manufacture	sản xuất
due to	do
award	giải thưởng
replace	thay thế
possible	có thể
package	gói hàng / gói dịch vụ
several	một vài
session	buổi
material	vật liệu / tài liệu
resource	nguồn (lực, tài liệu...)
once	một khi / một lần
rate	giá / đánh giá
security	an ninh / an toàn
through	qua / thông qua
based	dựa trên / đặt
locate	đặt
exhibit	triển lãm
